City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Westport,US,41.1415,-73.3579,47.75,88,100,10.36,overcast clouds
351,Kramat,ID,-8.1311,113.4499,74.73,92,97,1.54,overcast clouds
352,Olafsvik,IS,64.8945,-23.7142,28.17,80,81,8.9,broken clouds
353,Sri Aman,MY,1.2376,111.4621,75.25,100,91,0.0,overcast clouds
354,Lokhvytsya,UA,50.3678,33.2602,42.17,91,100,13.38,overcast clouds
355,Kutum,SD,14.2,24.6667,54.07,35,19,8.9,few clouds
356,Araouane,ML,18.9048,-3.5265,66.83,20,100,9.42,overcast clouds
357,Aripuana,BR,-9.1667,-60.6333,74.44,92,92,1.61,light rain
358,Phra Phutthabat,TH,14.7253,100.7954,70.21,68,85,16.73,overcast clouds
359,Vestmannaeyjar,IS,63.4427,-20.2734,32.13,88,100,7.23,light snow
360,Zaysan,KZ,47.4667,84.8667,18.9,95,100,1.52,overcast clouds
361,Constitucion,CL,-35.3333,-72.4167,63.12,79,74,6.8,broken clouds
362,Udala,ES,43.0778,-2.5125,41.47,89,4,3.18,clear sky
363,Barcelos,PT,41.5388,-8.6151,49.91,82,57,3.78,broken clouds
364,Karratha,AU,-20.7377,116.8463,79.43,67,100,19.15,overcast clouds
365,Belmonte,BR,-15.8631,-38.8828,77.16,87,91,8.68,overcast clouds
366,Morristown,US,36.214,-83.2949,54.3,37,0,11.5,clear sky
367,Henties Bay,NA,-22.116,14.2845,61.36,84,12,11.32,few clouds
368,Naliya,IN,23.2667,68.8333,59.34,36,0,12.95,clear sky
369,Socorro,US,31.6546,-106.3033,64.06,27,40,0.0,scattered clouds
370,Waddan,LY,29.1614,16.139,52.84,49,3,5.46,clear sky
371,Vegueta,PE,-11.0231,-77.6431,70.29,79,100,8.37,overcast clouds
372,Ayan,RU,56.45,138.1667,-5.01,80,39,9.53,scattered clouds
373,Te Anau,NZ,-45.4167,167.7167,72.86,59,79,4.18,broken clouds
374,Kuah,MY,6.3265,99.8432,76.98,88,20,0.0,few clouds
375,Esterhazy,CA,50.65,-102.0843,2.25,98,36,4.32,scattered clouds
376,Rocha,UY,-34.4833,-54.3333,66.63,61,0,8.84,clear sky
377,Cayenne,GF,4.9333,-52.3333,75.24,94,75,1.14,broken clouds
378,Muros,ES,42.7762,-9.0603,50.09,94,80,10.13,broken clouds
379,Upata,VE,8.0086,-62.3989,72.19,95,75,4.27,moderate rain
380,Ashland,US,40.8167,-82.2665,43.34,75,95,11.05,light rain
381,Murom,RU,55.5656,42.0417,-15.07,98,49,8.48,scattered clouds
382,Katsuura,JP,35.1333,140.3,42.75,49,90,7.4,overcast clouds
383,Alofi,NU,-19.0595,-169.9187,82.29,69,75,10.36,light rain
384,Port Blair,IN,11.6667,92.75,80.64,83,20,5.75,mist
385,Gisborne,NZ,-38.6533,178.0042,71.71,66,99,15.37,overcast clouds
386,Virginia Beach,US,36.8529,-75.978,64.44,61,40,6.91,scattered clouds
387,Kenai,US,60.5544,-151.2583,24.85,74,0,10.36,clear sky
388,Port Augusta,AU,-32.5,137.7667,76.19,33,0,8.48,clear sky
389,Uchiza,PE,-8.4592,-76.4633,73.2,96,100,1.34,moderate rain
390,Dudinka,RU,69.4058,86.1778,-39.39,91,6,11.68,clear sky
391,Rantepao,ID,-2.9701,119.8978,69.19,84,100,3.22,moderate rain
392,Jawhar,SO,2.7809,45.5005,73.0,84,71,13.02,broken clouds
393,Turinsk,RU,58.0458,63.696,-21.1,100,88,3.62,overcast clouds
394,Pizarro,CO,4.9533,-77.366,78.4,80,22,3.67,few clouds
395,Touros,BR,-5.1989,-35.4608,79.21,76,1,11.63,clear sky
396,Portland,US,45.5234,-122.6762,55.54,67,100,17.27,overcast clouds
397,Nuuk,GL,64.1835,-51.7216,32.61,32,75,19.57,broken clouds
398,Korla,CN,41.7597,86.1469,21.47,45,0,2.3,clear sky
399,Kathu,TH,7.9178,98.3332,75.02,78,67,9.04,broken clouds
