City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Cedar City,US,33.71,overcast clouds,37.6775,-113.0619,Baymont Inn & Suites
259,Dhankuta,NP,45.99,clear sky,26.9833,87.3333,Murchunga Hotel
261,Naryan-Mar,RU,-15.07,few clouds,67.6713,53.087,"Гостиница ""Агат"""
262,Reconquista,AR,83.66,broken clouds,-29.15,-59.65,Hotel San Martin
263,Bubaque,GW,78.4,overcast clouds,11.2833,-15.8333,Chez Julio
266,Severodvinsk,RU,-1.89,light snow,64.5635,39.8302,Hermitage
267,Mackay,AU,89.69,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
269,Namibe,AO,70.45,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
270,Cajati,BR,64.18,few clouds,-24.7361,-48.1228,Sueber
274,Goose Creek,US,50.9,scattered clouds,32.981,-80.0326,Quality Inn
275,Arkhipo-Osipovka,RU,40.35,overcast clouds,44.37,38.52,"Санаторий ""Архипо-Осиповка"""
278,Coffs Harbour,AU,78.13,broken clouds,-30.3,153.1333,The Coast Hotel
280,Buraydah,SA,50.43,clear sky,26.326,43.975,دنا للوحدات السكنية
281,Pisco,PE,67.01,scattered clouds,-13.7,-76.2167,La Portada
284,Sept-Iles,CA,16.05,light snow,50.2001,-66.3821,Château Arnaud
285,Beaverlodge,CA,22.95,scattered clouds,55.2166,-119.4361,Side Trax Inn
286,Bredasdorp,ZA,61.79,clear sky,-34.5322,20.0403,Victoria Hotel
287,Along,IN,46.87,clear sky,28.1667,94.7667,Hotel Toshi Palace
288,Katsuura,JP,46.58,overcast clouds,35.1333,140.3,潮騒の宿
289,Semnan,IR,33.57,scattered clouds,35.5729,53.3971,مرکز آموزشی رفاهی فرهنگیان - خانه معلم
290,Kulunda,RU,19.38,overcast clouds,52.566,78.9385,Вояж
291,Burns Lake,CA,25.2,overcast clouds,54.2331,-125.7533,Key-oh Lodge
293,Altagracia De Orituco,VE,70.48,broken clouds,9.8601,-66.3814,Hotel El Canastro
296,Mola Di Bari,IT,56.91,scattered clouds,41.0609,17.0873,Hotel Gabbiano
